GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7737001260012 441040               BANDITAS BAND-AID TOY STORY BIL 25 UN                                  BAND-AID                       BAND AID BRAND ADHESIVE BANDAG 7891010938840     24 N     20180402T1445  A      
7737001260012 92735                LISTERINE ANTI SARRO 250ML                                             JOHNSON'S                      ORAL MOUTHWASH                 7702035853158     12 N     20100330T1713  A      
7737001260012 92736                LISTERINE ANTI SARRO 500ML                                             JOHNSON'S                      ORAL MOUTHWASH                 7702035853165     12 N     20100727T1204  A      
7737001260012 92737                LISTERINE CITRUS 12 X 250ML                                            JOHNSON'S                      ORAL MOUTHWASH                 7702035853134     12 N     20100222T0853  A      
7737001260012 92739                LISTERINE COOL CITRUS 500ML                                            JOHNSON'S                      ORAL MOUTHWASH                 7702035853141     12 N     20100628T1247  A      
7737001260012 92740                LISTERINE PROTEC DIENTES 12XX250ML                                     JOHNSON'S                      ORAL MOUTHWASH                 7891010927400     12 N     20100812T1616  A      
7737001260012 92741                LISTERINE PROT DIENTES & ENCIAS 12X500ML                               JOHNSON'S                      ORAL MOUTHWASH                 7891010927417     12 N     20101126T1836  A      
7737001260012 92748                DESITIN UNGUENTO 36 X 57 GM EXP                                        DESITIN                        OTC OTHER CATEGORIES           7702031927488     36 N     20110120T1602  A      
7737001260012 92763                JS SOFT LOCION NUT INTENSA 12X200ML                                    SOFTLOTION                     BABY                           7891010927622     12 N     20120124T1621  A      
7737001260012 92796                JS BABY SAB LIQ CAB AOS PES 12X400ML BIL                               JOHNSON'S BABY                 BABY CARE                      7891010870744     12 N     20170803T1104  A      
7737001260012 92811                ROC MULTICORREXION DIA/ NOCHE                                          ROC                            BEAUTY                         3574660459265      1 N     20110613T1033  A      
7737001260012 92812                ROC® MULTICORREXION OJOS                                               ROC                            BEAUTY                         3574660459333      1 N     20110613T1033  A      
7737001260012 92922                DESITIN CREAMY 36 X 57 GM EXP                                          DESITIN                        BABY                           7702031927433     36 N     20120124T1621  A      
7737001260012 93058                LUBRIDERM MANOS ANTIEDAD 36 X100                                       LUBRIDERM                      BEAUTY                         7702035481023     36 N     20120924T1516  A      
7737001260012 93145                J'S SOFT LOCAO P SONHOS 12X200ML C.SUL                                 JOHNSON´S                      BABY TOILETRIES                7891010877934     12 N     20121012T1232  A      
7737001260012 93159                J'S SOFT LOCAO M PROLONGADA 12X200ML EXP                               SOFT LOTION                    BABY TOILETRIES                7891010895334     12 N     20110916T1124  A      
7737001260012 93321                ROC RETINOX EYE CR 15ML                                                ROC                            BEAUTY                         3574660489347      6 N     20100812T1616  A      
7737001260012 93322                ROC RETINOX NIGHT 40ML                                                 ROC                            BEAUTY                         3574660490060      6 N     20100812T1616  A      
7737001260012 93350                J'S SOFT LOCAO P SONHOS 12X200ML C.SUL                                 SOFT LOTION                    BABY TOILETRIES                7891010877934     12 N     20100902T1147  A      
7737001260012 93352                CREMA DULCES SUEÑOS 6X190GR                                            JOHNSON'S BABY                 BABY TOILETRIES                7790010007450     12 N     20100727T1204  A      
7737001260012 93364                ROC COMPL LIFT+FIX DAY CR 50                                           ROC                            BEAUTY                         3574660474596      6 N     20100812T1616  A      
7737001260012 93387                ROC RETINOX DAY 40ML                                                   ROC                            BEAUTY                         3574660489910      6 N     20100812T1616  A      
7737001260012 93388                OB TAMP MEDIO HELIX 40X10                                              OB                             WH                             7891010010546     40 N     20110111T1154  A      
7737001260012 93390                OB TAMPONES SUPER HELIX 40X10                                          OB                             WH                             7891010010577     40 N     20110111T1154  A      
7737001260012 93402                ABS INT OB MINI 40X10UN                                                OB                             WH                             7891010010515     40 N     20110111T1154  A      
